1	Mưa	N	O	3	sub
2	lớn	A	O	1	nmod
3	xảy	V	O	0	root
4	ra	R	O	3	adv
5	trước_tiên	N	O	3	dob
6	tại	E	O	5	loc
7	thủ_phủ	N	O	6	pob
8	Padang	Np	B-LOC	7	nmod
9	và	Cc	O	3	coord
10	sau	E	O	12	tmp
11	đó	P	O	10	pob
12	là	V	O	9	conj
13	8	M	O	14	det
14	khu_vực	N	O	12	dob
15	khác	A	O	14	nmod
16	,	CH	O	3	punct
17	làm	V	O	3	vmod
18	hư_hại	A	O	17	vmod
19	gần	A	O	21	nmod
20	700	M	O	21	det
21	ngôi	Nc	O	17	dob
22	nhà	N	O	21	nmod
23	,	CH	O	3	punct
24	nhiều	A	O	25	nmod
25	cây	Nc	O	21	nmod
26	cầu	N	O	25	nmod
27	,	CH	O	25	punct
28	trường_học	N	O	25	nmod
29	và	Cc	O	3	coord
30	113	M	O	31	det
31	ha	Nu	O	29	conj
32	đất	N	O	31	nmod
33	nông_nghiệp	N	O	32	nmod
34	.	CH	O	3	punct

1	Người_phát_ngôn	N	O	4	sub
2	của	E	O	1	nmod
3	Cơ_quan	Np	B-ORG	2	pob
4	ứng_phó	V	I-ORG	0	root
5	thiên_tai	N	I-ORG	4	dob
6	quốc_gia	N	I-ORG	5	nmod
7	Indonesia	Np	I-ORG	6	nmod
8	(	CH	O	6	punct
9	BNPB	Ny	B-ORG	6	nmod
10	)	CH	O	4	punct
11	,	CH	O	4	punct
12	ông	Nc	O	14	sub
13	Abdul_Muhari	Np	B-PER	12	nmod
14	cho	V	O	4	dep
15	biết	V	O	14	vmod
16	đội	N	O	31	sub
17	cứu_hộ	V	O	16	nmod
18	với	E	O	16	nmod
19	khoảng	N	O	21	nmod
20	150	M	O	21	det
21	nhân_viên	N	O	18	pob
22	từ	E	O	21	nmod
23	các	L	O	24	det
24	cơ_quan	N	O	22	pob
25	ứng_phó	V	O	24	nmod
26	thiên_tai	N	O	25	dob
27	của	E	O	26	nmod
28	các	L	O	29	det
29	địa_phương	N	O	27	pob
30	đã	R	O	31	adv
31	được	V	O	14	vmod
32	huy_động	V	O	31	vmod
33	tham_gia	V	O	32	vmod
34	nỗ_lực	N	O	33	dob
35	tìm_kiếm	V	O	31	vmod
36	những	L	O	37	det
37	người	N	O	35	dob
38	mất_tích	V	O	37	nmod
39	,	CH	O	4	punct
40	tuy_nhiên	C	O	4	coord
41	công_tác	N	O	46	sub
42	cứu_hộ	V	O	41	nmod
43	cứu	V	O	42	vmod
44	nạn	N	O	43	dob
45	đã	R	O	46	adv
46	gặp	V	O	40	conj
47	nhiều	A	O	48	nmod
48	khó_khăn	N	O	46	dob
49	do	E	O	48	nmod
50	đường_sá	N	O	51	sub
51	bị	V	O	49	dep
52	tắc_nghẽn	V	O	51	vmod
53	sau	E	O	52	tmp
54	các	L	O	55	det
55	vụ	N	O	53	pob
56	lở	V	O	55	nmod
57	đất	N	O	55	nmod
58	.	CH	O	4	punct

1	Những	L	O	2	det
2	người	N	O	5	sub
3	sơ_tán	V	O	2	nmod
4	đã	R	O	5	adv
5	tập_trung	V	O	0	root
6	tại	E	O	5	loc
7	các	L	O	8	det
8	nhà_thờ	N	O	6	pob
9	Hồi_giáo	Np	B-ORG	8	nmod
10	gần	A	O	8	nmod
11	nhất	R	O	10	amod
12	,	CH	O	5	punct
13	được	V	O	5	vmod
14	cung_cấp	V	O	13	vmod
15	các	L	O	16	det
16	nhu_yếu_phẩm	N	O	14	dob
17	như	C	O	16	coord
18	thức_ăn	N	O	17	conj
19	,	CH	O	16	punct
20	nước	N	O	16	nmod
21	uống	V	O	20	nmod
22	,	CH	O	16	punct
23	thuốc_men	N	O	16	nmod
24	.	CH	O	5	punct

1	 	CH	O	0	punct

1	Theo	E	O	23	tpc
2	ông	Nc	O	1	pob
3	Abdul	Np	B-PER	2	nmod
4	,	CH	O	2	punct
5	hầu_hết	R	O	7	nmod
